epoch,step,train_loss,val_loss
0,49,0.7023621797561646,
0,99,0.3696279525756836,
0,149,0.2853229343891144,
0,199,0.3612804710865021,
0,249,0.2832520604133606,
0,299,0.12258214503526688,
0,349,0.09174300730228424,
0,399,0.10166080296039581,
0,449,0.050224028527736664,
0,499,0.23220689594745636,
0,549,0.08648937940597534,
0,599,0.11507479101419449,
0,649,0.1258772611618042,
0,699,0.17212383449077606,
0,749,0.12917320430278778,
0,749,,0.1487874537706375
1,799,0.14567381143569946,
1,849,0.08123181015253067,
1,899,0.11606346815824509,
1,949,0.11248451471328735,
1,999,0.2027408480644226,
1,1049,0.15055854618549347,
1,1099,0.08420230448246002,
1,1149,0.06480386108160019,
1,1199,0.09148970991373062,
1,1249,0.021129615604877472,
1,1299,0.07439367473125458,
1,1349,0.21279917657375336,
1,1399,0.23702867329120636,
1,1449,0.01700592041015625,
1,1499,0.16305720806121826,
1,1499,,0.0957958772778511
2,1549,0.024514442309737206,
2,1599,0.07745949923992157,
2,1649,0.11926798522472382,
2,1699,0.07183636724948883,
2,1749,0.07162821292877197,
2,1799,0.07926826924085617,
2,1849,0.06613605469465256,
2,1899,0.06481785327196121,
2,1949,0.06190149858593941,
2,1999,0.03677604719996452,
2,2049,0.017255490645766258,
2,2099,0.08191683143377304,
2,2149,0.04749951511621475,
2,2199,0.03572023659944534,
