epoch,gradient_norm,learning_rate,step,train_acc,train_loss
0,2.1780409812927246,0.0010000000474974513,31,,
1,,,49,0.71875,1.3316035270690918
1,2.6559033393859863,0.0010000000474974513,63,,
2,3.656179189682007,0.0010000000474974513,95,,
3,,,99,1.0,0.6734129190444946
3,5.408010959625244,0.0010000000474974513,127,,
4,,,149,0.9375,0.35371163487434387
4,4.182838439941406,0.0010000000474974513,159,,
5,6.972226142883301,0.0010000000474974513,191,,
6,,,199,0.96875,0.21262715756893158
6,3.3450353145599365,0.0010000000474974513,223,,
7,,,249,1.0,0.17143896222114563
7,4.179275989532471,0.0010000000474974513,255,,
